Task ID,Task Name,Estado en ClickUp,Estado nuevo,Evidencia
AUT-022,Corregir defectos de onboarding y UBOs,to do,Complete,"B1-B6 y W1-W6 corregidos (ESTADO 3.11). B4 cerrado: associated_persons ya viaja con birth_date, nationality, occupation, gender y phone_number, confirmado hoy contra el sandbox."
AUT-023,Bruno 04 Cuentas virtuales,to do,In Progress,Bruno 04 responde 422: ningun user del sandbox esta VERIFIED. Bloqueado por AUT-056.
AUT-024,Bruno 05 Depositos,to do,In Progress,Sin cuenta real no hay depositos que sincronizar. Estados KYT y retenidos ya soportados.
AUT-025,Decidir el sexto worker de depositos,to do,to do,"Sin decidir. Hoy hay 7 workers y ninguno de depositos: Payout, Quotation, Liveness, Rfi, Tenant, VirtualAccount y WebhookReprojection."
AUT-026,Bruno 06 Destinatarios,to do,In Progress,Pendiente de un user VERIFIED.
AUT-027,Bruno 07 Cotizaciones,to do,In Progress,Responde 422 sin cuenta operativa.
AUT-028,Subir CreateQuoteService a 2026-06-01,to do,Complete,Version unica 2026-06-01; KiraProperties rechaza cualquier otra. Commit 8b0af6d (15-sep).
AUT-029,Corregir defectos de tesoreria,to do,In Progress,"KYT_PENDING/KYT_REJECTED, CANCELLED, FROZEN, idempotencia, doble firma y recotizacion hechos; falta el recorrido real."
AUT-030,Bruno 08 Pagos: preview y ejecucion,to do,to do,Sin empezar. Bloqueado por AUT-056.
AUT-031,"Pagos: eventos, comprobante y maker-checker",to do,In Progress,"Doble firma por limite y segregacion destinatario/aprobador. Commits 9bde9cc y 41889dd (15-sep); falta probar contra Kira."
AUT-032,Webhooks reales de Kira,to do,to do,Bloqueado por AUT-051 (host publico).
AUT-033,Bruno 03 RFIs en sandbox,to do,In Progress,Sync de RFIs 200; no hay RFIs abiertos que responder.
AUT-034,Guardar resolution_reason de RFIs cerrados,to do,Complete,rfis.resolution_reason guardado; los RFIs retirados pasan a WITHDRAWN.
AUT-035,Corregir defectos de pagos y webhooks,to do,In Progress,"Guardado antes del 2xx, segundo secreto y payloads nuevos corregidos; faltan entregas reales (AUT-032/051)."
AUT-036,Propagar warnings[] de Kira al portal,to do,to do,Verificado hoy: la palabra warnings no aparece en ningun .java del BFF.
AUT-037,Cerrar pendientes de documentos KYB,to do,to do,Ampliado por AUT-056: el catalogo no ofrece file_board_minutes ni file_fatca.
AUT-038,Decidir las tablas huerfanas de dev,to do,to do,"Confirmadas hoy en la base de dev: tenant/tenants, payout/payouts, audit_log/audit_logs, operator_user/users, webhook_event/webhooks_log. Enmascaran errores al pasar a cert (ddl-auto validate)."
AUT-039,Decidir pago sin cotizacion y memo en WIRE,to do,to do,Sin decidir.
AUT-040,Honrar expires_in del token de Kira,to do,to do,"Verificado hoy: KiraAuthResponse lee expires_in, pero KiraClientConfig calcula el TTL con properties.tokenTtlSeconds(). Sigue sin honrarse."
AUT-041,Endpoint de gestion de operadores,to do,Complete,"OperatorController con GET/POST /api/operators y /api/operators/{id}; pagina Equipo en el front. Commits 0b60ed9 y 2d4c770 (16-sep). No estaba en el CSV del 15-sep."
AUT-042,Documentacion final al dia,to do,In Progress,"DOCUMENTACION-CODIGO secciones 1-17 y anexos regenerados (7c4c2f1, 16-sep); API-GUIA y frontend-backend-contract actualizados hoy. Falta ESTADO.md con el trabajo del 16 y 17-sep."
AUT-043,Congelacion de alcance,to do,to do,Sin empezar.
AUT-044,Aplicar el DDL a mano en cert,to do,In Progress,"SQL completo en ESTADO 7 (incluye onboarding_draft, onboarding_draft_updated_at, payouts.first_approver_user_id y recipients.created_by_user_id); falta aplicarlo."
AUT-045,Cargar secretos rotados y desplegar a cert,to do,to do,Sin empezar. Ver AUT-058: hay secretos reales en .env.example sin commitear.
AUT-046,Smoke: coleccion Bruno completa contra cert,to do,to do,Sin empezar.
AUT-047,Verificar los 5 workers en cert,to do,to do,Sin empezar. Son 7 workers.
AUT-048,Acta de entrega y traspaso,to do,to do,Sin empezar.
AUT-049,Pedir a Kira la suscripcion a rfi.*,to do,to do,Bloqueante externo. Sin respuesta.
AUT-050,Pedir a Kira credenciales nuevas de Cognito,to do,to do,Bloqueante externo. Sin respuesta.
AUT-051,Conseguir host publico para los webhooks,to do,to do,Bloqueante externo. Bloquea AUT-032 y AUT-035.
